,first_language,funding,school,fast_track,coop,residency,gender,prev_education,age_group,english_grade,first_term_gpa,second_term_gpa,high_school_average_mark,math_score
79,1,2,6,2,1,1,1,1,1,10,2.369565,2.6875,86.0,22.0
80,3,4,6,2,2,2,1,1,1,4,3.347826,2.704545,81.09,31.0
81,3,4,6,1,2,2,2,2,3,9,3.456522,2.98,87.51,42.74
82,3,4,6,2,2,2,1,1,1,7,2.0492899200000005,1.8922555399999994,69.7,19.0
83,1,2,6,2,1,1,2,1,1,9,3.880952,3.434783,82.0,42.0
84,1,2,6,2,2,1,2,1,1,9,1.541667,1.934783,74.0,24.0
85,1,2,6,2,1,1,2,1,1,9,3.56,3.318182,80.0,29.0
86,1,2,6,2,1,1,2,1,1,7,0.157895,0.0,77.0,19.0
87,3,4,6,2,2,2,2,1,2,8,3.854167,3.66,92.46,49.0
88,1,2,6,2,2,1,2,1,2,7,2.58,2.282609,67.0,19.0
89,1,2,6,2,2,1,2,2,3,9,3.882353,3.605263,84.0,25.0
90,1,8,6,2,2,1,2,1,7,9,2.210526,2.363636,64.25,16.0
91,3,2,6,2,2,1,1,2,7,10,4.217391,4.333333,89.97,46.0
92,1,2,6,2,2,1,2,1,2,7,3.354167,3.681818,81.0,20.0
93,1,2,6,2,1,1,2,1,3,9,2.928571,2.375,65.0,36.0
94,3,4,6,2,1,2,2,1,3,10,3.452381,1.090909,81.8,47.0
95,1,2,6,2,1,1,2,1,2,9,3.068182,2.977273,77.0,32.0
96,3,4,6,2,2,2,2,1,2,10,3.818182,3.75,89.77,47.0
97,1,2,6,2,2,1,2,1,1,7,1.230769,1.625,72.0,23.0
98,1,2,6,2,2,1,2,1,1,9,3.916667,3.815789,93.0,39.0
99,1,2,6,2,1,1,2,1,2,7,1.176471,1.95,52.0,16.0
100,3,4,6,1,2,2,2,2,3,4,2.275,1.9,75.09,34.26
101,1,2,6,2,2,1,2,1,1,10,3.875,4.119048,85.0,40.0
102,1,2,6,2,2,1,2,0,3,8,1.568182,1.3092899799999989,60.0,29.0
103,1,2,6,1,2,1,1,2,3,9,4.434783,4.46,97.19,38.37
104,3,4,6,1,2,2,1,1,3,7,2.416667,2.365385,74.7,32.1
105,3,2,6,2,1,1,2,1,1,7,1.59375,2.978261,75.76,36.0
106,3,4,6,1,2,2,2,2,3,8,2.304348,1.809524,74.57,32.34
107,3,4,6,1,2,2,1,2,3,4,3.5,3.5,88.5,41.99
108,1,2,6,2,2,1,2,1,1,7,0.0,0.050092109999999995,77.0,29.0
109,1,2,6,2,2,1,1,1,1,9,4.095238,3.97619,102.0,38.2
110,3,4,6,1,2,2,2,2,3,8,3.354167,3.821429,88.44,43.85
111,3,4,6,1,2,2,2,2,3,8,0.0,0.09143216000000001,74.97,40.47
112,1,2,6,2,1,1,2,1,3,9,3.083333,3.522727,96.0,42.0
113,1,8,6,2,2,1,2,2,8,9,4.261905,4.340909,85.65,38.0
114,1,2,6,2,1,1,1,2,3,9,4.23913,4.0,92.0,26.0
115,3,4,6,1,2,2,2,2,3,8,2.9,2.886364,79.54,34.55
116,3,4,6,1,2,2,1,2,4,8,3.5,3.692308,89.66,43.26
117,3,4,6,1,2,2,2,1,2,9,3.565217,3.28,85.46,42.69
118,1,2,6,2,2,1,2,1,2,9,1.525,0.0,73.0,16.0
119,1,2,6,2,1,1,2,1,1,7,2.0,1.388889,78.0,22.0
120,3,4,6,1,2,2,1,2,3,10,1.285714,1.458333,68.72,26.44
121,1,2,6,2,2,1,2,1,4,9,0.0,1.681989429999999,53.0,25.0
122,1,2,6,2,2,1,2,1,3,9,3.409091,3.194444,48.0,15.0
123,3,4,6,1,2,2,2,2,3,10,3.173913,3.18,84.82,43.02
124,3,4,6,2,2,2,2,1,3,8,2.1,2.386364,73.19,44.0
125,1,2,6,2,2,1,2,1,1,9,3.025,3.275,82.0,29.0
126,3,4,6,1,2,2,2,1,3,8,2.434783,2.307692,73.9,32.62
127,3,4,6,2,2,2,2,2,1,9,3.568182,3.236842,87.51,45.0
128,3,2,6,2,2,1,2,1,1,9,2.90625,1.884615,79.0,27.0
129,3,2,6,2,2,1,1,2,3,4,3.35,3.361111,89.75,46.0
130,2,2,6,2,2,1,2,2,6,8,4.131579,3.891304,86.57,46.0
131,1,2,6,2,2,1,2,1,3,10,4.357143,4.409091,85.0,48.0
132,1,2,6,1,2,1,2,2,7,10,4.076923,4.434783,93.0,42.04
133,1,2,6,2,2,1,1,1,1,7,0.947368,2.03125,78.0,14.0
134,1,2,6,2,2,1,2,2,7,9,4.08,4.175,86.83,21.0
135,1,2,6,2,2,1,1,2,2,9,3.895833,3.857143,86.0,21.0
136,1,2,6,2,2,1,2,1,2,7,2.289474,2.478261,68.19,15.0
137,1,2,6,2,2,1,1,1,1,9,3.16,3.545455,97.0,38.0
138,3,4,6,2,2,2,2,1,4,8,3.428571,3.4,89.12,43.0
139,1,2,6,2,2,1,2,1,2,9,3.541667,3.021739,90.0,30.0
140,3,4,6,2,2,2,2,2,1,9,3.904762,2.590909,85.01,42.0
141,3,5,6,2,2,2,1,1,3,8,4.285714,4.019231,92.83,49.0
142,3,4,6,1,1,2,2,2,3,4,3.942308,3.769231,92.46,46.68
143,3,4,6,1,2,2,2,2,5,7,3.673913,3.942308,88.06,44.14
144,1,2,6,2,1,1,1,1,1,9,3.880952,3.0,90.0,43.0
145,1,2,6,2,2,1,2,1,1,3,3.52,3.391304,89.0,40.0
146,3,2,6,1,1,1,2,2,7,10,3.916667,3.769231,90.64,44.29
147,3,5,6,2,2,2,2,1,2,7,3.708333,3.25,88.45,48.0
148,1,2,6,2,2,1,2,1,1,9,3.804348,3.565217,83.0,39.0
149,1,2,6,1,2,1,1,2,5,10,4.021739,3.74,89.16,38.49
150,3,4,6,1,2,2,2,1,4,7,3.041667,3.303571,83.05,41.78
151,1,2,6,2,2,1,2,1,2,7,2.421053,1.076923,67.0,24.0
152,3,2,6,2,2,1,2,2,3,8,2.833333,3.318182,81.05,31.75
153,1,2,6,2,1,1,1,2,3,9,4.304348,4.0,97.0,44.0
154,3,2,6,2,2,1,2,2,6,10,4.238095,3.891304,84.87,48.0
155,3,4,6,1,2,2,2,1,4,9,3.568182,3.148148,87.06,42.24
156,3,4,6,1,2,2,2,1,3,10,4.022727,3.796296,91.93,47.77
157,3,4,6,2,2,2,2,2,1,10,2.416667,3.527778,82.95,49.0
158,1,2,6,2,2,1,2,1,3,9,0.0,0.0,73.11,29.78
159,3,4,6,2,2,2,2,2,2,10,4.434783,4.277778,94.3,49.0
160,1,2,6,2,2,1,2,1,2,3,2.090909,1.833333,60.0,17.0
161,1,1,6,2,1,1,2,1,4,9,3.04,3.083333,61.0,27.0
162,3,4,6,1,2,2,2,2,4,8,2.891304,2.788462,78.37,34.06
163,1,2,6,2,2,1,2,2,3,9,3.55,3.6,81.0,37.0
164,3,4,6,1,2,2,2,1,3,3,2.386364,2.0586306899999993,75.01,36.23
165,3,4,6,1,2,2,2,2,3,9,2.15,2.02249936,77.07,28.0
166,3,2,6,2,1,1,1,1,1,7,0.0,0.0,63.0,26.0
167,1,2,6,2,2,1,2,1,1,7,0.0,0.0,72.0,37.0
168,1,2,6,2,1,1,2,1,2,2,0.0,1.45,45.0,18.37
169,3,4,6,2,2,2,1,2,2,10,3.857143,3.568182,86.96,38.0
170,3,4,6,1,1,2,2,1,3,8,3.833333,3.464286,86.98,45.17
171,3,4,6,2,2,2,2,2,1,8,4.0,3.630435,86.9,45.0
172,1,2,6,2,1,1,2,1,1,8,3.227273,3.136364,74.0,41.0
173,3,2,6,2,2,1,2,2,2,9,3.043478,3.166667,85.0,38.0
174,1,2,6,2,2,1,2,1,3,8,3.547619,3.282609,54.0,12.0
175,1,2,6,2,2,1,2,1,4,7,3.078947,2.636364,68.0,22.0
176,1,2,6,2,2,1,2,1,3,7,0.24,0.0,61.09,17.0
177,3,4,6,2,2,2,2,2,1,8,2.722222,2.659091,78.03,21.0
178,3,4,6,1,2,2,2,1,3,7,2.55,2.772727,74.23,36.25
179,3,2,6,2,1,1,1,2,5,4,3.5,3.416667,80.0,43.0
180,3,4,6,1,2,2,1,2,3,8,3.06,2.538462,79.67,33.14
181,3,4,6,1,2,2,2,2,3,10,2.525,2.261905,78.05,33.49
182,1,2,6,2,1,1,2,1,1,7,0.54,0.9344903999999998,66.0,24.0
183,3,2,6,2,2,1,1,2,3,10,3.568182,3.763158,94.0,38.0
184,1,2,6,2,2,1,2,1,1,7,3.272727,1.5,76.0,26.81
185,3,4,6,1,2,2,2,1,3,10,2.521739,2.7,80.91,38.92
186,3,5,6,2,2,2,2,1,5,8,4.065217,3.934783,83.78,49.0
187,3,4,6,1,2,2,2,1,3,7,3.222222,3.448276,84.23,40.92
188,3,4,6,2,2,2,2,0,6,10,4.159091,4.236842,83.96,48.0
189,3,4,6,2,2,2,1,2,2,8,0.0,0.12328382000000002,75.44,37.26
190,1,2,6,2,2,1,1,1,3,9,2.357143,2.970588,81.0,32.0
191,1,2,6,2,2,1,1,2,3,9,4.194444,4.055556,94.0,36.67
192,1,2,6,2,2,1,1,2,3,9,4.095238,4.222222,102.0,34.72
193,3,4,6,2,2,2,2,1,3,8,3.729167,3.729167,90.24,45.0
194,3,2,6,2,2,1,2,1,3,7,3.454545,2.9310599899999983,78.0,23.0
195,3,2,6,2,1,1,1,1,1,7,3.08,2.65,85.0,35.0
196,3,2,6,2,2,1,1,2,6,4,3.5,2.846154,89.48,47.0
197,1,2,6,2,1,1,2,2,3,9,3.0,2.8041317299999986,83.0,26.0
198,3,4,6,2,2,2,2,1,2,7,2.447368,2.394737,74.12,36.09
199,3,2,6,2,2,1,2,1,2,4,0.0,0.1606315,55.0,12.0
200,1,2,6,2,2,1,2,1,1,7,0.0,0.0,72.0,29.0
201,1,2,6,2,2,1,1,2,3,9,2.9,3.0,68.0,19.81
202,1,2,6,2,1,1,1,2,6,9,2.2,3.125,65.7,19.0
203,1,1,6,2,1,1,2,1,1,9,2.1,0.596154,71.0,22.0
204,1,2,6,2,2,1,2,2,3,9,2.04,1.159091,73.0,32.0
205,1,2,6,2,1,1,2,1,2,8,1.26087,1.1066148700000005,75.0,21.0
206,1,2,6,2,2,1,2,1,3,9,3.02,2.15,82.0,48.0
207,1,2,6,1,2,1,2,2,3,10,3.913043,2.833333,85.62,32.46
208,3,4,6,2,1,2,2,1,2,8,3.73913,3.809524,92.0,47.0
209,3,8,6,2,2,1,2,0,9,7,3.159091,3.409091,84.72,41.0
210,1,2,6,2,2,1,2,2,3,9,4.5,4.333333,104.0,38.22
211,3,4,6,2,2,2,2,1,2,10,2.472222,2.65625,88.0,42.0
212,3,4,6,2,2,2,2,1,1,9,3.021739,3.833333,84.11,39.0
213,1,2,6,2,2,1,2,1,1,7,2.043350470000001,1.7415306700000002,66.0,17.0
214,3,4,6,1,2,2,2,2,3,8,3.759259,4.019231,94.34,47.73
215,1,2,6,2,1,1,1,1,1,9,4.22,4.136364,92.0,47.0
216,1,2,6,2,2,1,2,0,3,9,0.32,0.09654676000000001,53.0,15.0
217,3,4,6,1,2,2,2,2,3,10,3.73913,3.571429,89.86,45.33
218,3,4,6,1,2,2,2,1,3,7,2.15,2.0201063699999993,73.13,35.0
219,1,2,6,2,2,1,2,1,1,7,2.428571,1.0,63.0,21.0
220,3,4,6,2,2,2,1,1,2,4,3.434783,3.428571,84.51,37.0
221,3,4,6,1,2,2,2,2,3,8,1.535714,1.117647,69.09,25.18
222,3,2,6,2,1,1,2,2,3,8,0.705882,0.7504470899999999,69.42,47.0
223,3,2,6,2,2,1,1,2,5,8,4.113636,3.977273,89.0,46.0
224,1,2,6,2,1,1,2,1,2,9,2.0628177500000002,1.36869775,64.0,21.0
225,3,4,6,1,2,2,2,1,3,7,3.4,3.090909,86.32,43.26
226,1,4,6,2,2,2,2,0,3,8,2.657895,1.888889,66.83,14.0
227,1,4,6,1,1,2,2,2,4,9,3.826923,4.347826,92.16,43.45
228,3,4,6,2,2,2,1,1,1,7,1.086957,1.45,69.08,24.31
229,1,2,6,2,2,1,2,1,1,9,3.28,2.795455,84.0,28.0
230,1,2,6,2,2,1,2,0,2,9,0.0,0.0,56.05,16.0
231,3,4,6,2,2,2,2,1,2,9,3.75,3.02381,87.79,46.0
232,1,2,6,2,1,1,2,1,2,9,0.0,0.08343434,92.0,33.5
233,1,2,6,2,2,1,1,1,2,9,2.318182,0.0,63.0,17.0
234,3,4,6,1,2,2,2,2,3,9,4.057692,3.73913,89.61,45.31
235,3,4,6,2,2,2,2,1,2,7,1.973684,1.204545,71.48,33.71
236,3,2,6,2,2,1,2,1,2,4,2.1962421300000017,1.6370923099999997,74.0,33.0
237,1,2,6,2,2,1,2,0,3,7,2.571429,0.0,68.88,19.0
238,3,4,6,1,1,2,2,2,3,9,3.391304,2.547619,85.56,43.99
239,1,2,6,2,2,1,2,1,1,3,4.2,4.142857,83.0,25.0
240,3,4,6,1,2,2,2,2,3,10,2.73913,2.64,77.23,33.3
241,3,4,6,1,2,2,1,2,3,8,3.694444,3.166667,87.86,43.32
242,3,4,6,2,2,2,2,1,1,8,2.804348,3.0,81.22,42.0
243,3,4,6,1,2,2,2,2,3,8,3.0,3.153846,82.69,43.8
244,1,2,6,2,1,1,2,1,7,7,1.0,1.538462,65.0,19.0
245,1,2,6,2,1,1,2,1,1,9,1.071429,0.0,71.59,31.0
246,1,2,6,1,1,1,1,2,3,9,3.565217,4.0,86.0,37.56
247,1,2,6,2,2,1,1,2,4,9,4.309524,4.190476,81.0,39.0
248,3,4,6,1,2,2,2,1,3,9,2.033333,2.071429,72.92,37.99
249,1,2,6,2,1,1,2,2,2,9,3.047619,3.195652,79.0,34.0
250,3,4,6,1,2,2,1,2,3,8,3.409091,2.37037,85.3,43.06
251,3,2,6,1,1,1,2,2,4,10,4.18,4.152174,88.47,45.42
252,3,2,6,2,2,1,2,1,1,8,3.954545,3.045455,83.0,35.0
253,1,2,6,2,1,1,2,1,4,9,4.38,4.272727,73.0,31.0
254,3,4,6,2,2,2,2,1,3,10,3.0,3.45,84.86,44.5
255,3,2,6,2,1,1,1,2,3,10,3.4,3.4,91.0,33.0
256,3,4,6,1,2,2,1,2,4,8,3.217391,3.25,83.9,41.44
257,3,2,6,2,2,1,2,2,4,8,3.145833,1.619048,75.81,38.0
258,1,2,6,2,2,1,2,1,1,9,2.98,2.6,73.0,28.0
259,1,2,6,2,2,1,2,1,1,9,3.131579,1.25,73.0,20.0
260,3,4,6,2,1,2,2,1,4,8,3.909091,3.159091,90.06,49.0
261,3,4,6,2,2,2,2,2,1,8,4.090909,3.840909,88.44,45.0
262,1,2,6,2,2,1,1,2,4,8,4.176471,4.214286,79.0,39.31
263,1,2,6,2,1,1,2,1,1,7,3.026316,2.291667,72.0,25.0
264,3,2,6,2,2,1,1,2,3,8,3.619048,4.041667,88.24,45.29
265,3,4,6,1,1,2,2,1,3,8,0.26087,2.318182,70.96,43.0
266,1,2,6,2,2,1,2,1,1,9,3.54,2.142857,75.0,31.0
267,1,8,6,1,2,1,2,2,7,10,3.611111,3.851852,90.79,41.14
268,3,4,6,1,2,2,2,2,3,8,0.0,0.09143216000000001,74.97,40.47
269,1,2,6,2,1,1,2,1,1,9,3.56,3.7,91.0,46.0
270,2,2,6,2,1,1,1,1,1,8,2.1485136200000006,2.422382230000001,80.0,23.0
271,3,4,6,1,2,2,2,1,3,8,3.475,3.045455,86.98,42.09
272,1,2,6,2,1,1,2,1,1,9,3.145833,2.5,86.0,28.0
273,3,4,6,1,2,2,2,1,3,8,3.705882,3.673913,89.1,45.45
274,1,2,6,2,1,1,2,1,1,9,3.840909,4.26087,92.0,40.29
275,3,4,6,1,1,2,2,1,3,8,0.714286,0.0,67.66,29.48
276,3,4,6,2,2,2,2,2,3,8,3.825,3.225,84.93,45.18
277,3,4,6,1,2,2,2,2,3,10,3.5,4.02,91.91,45.67
278,3,4,6,2,2,2,1,1,3,8,4.130435,4.02381,88.91,42.0
279,3,4,6,1,1,2,2,1,3,8,2.921053,2.0,79.17,36.23
280,3,4,6,2,1,2,2,1,5,9,3.5,3.911765,77.42,35.0
281,1,2,6,2,2,1,2,1,1,7,1.94,2.5,69.0,36.0
282,1,2,6,2,2,1,2,1,1,9,3.5,2.934783,91.0,28.0
283,1,2,6,2,2,1,2,1,1,9,2.8,2.5996848700000004,76.0,23.0
284,1,8,6,2,2,1,2,0,6,9,2.97619,3.363636,74.17,30.0
285,3,4,6,2,2,2,1,1,3,3,4.086957,3.590909,86.06,42.64
286,3,4,6,2,2,2,2,1,2,10,4.285714,3.886364,88.66,44.0
287,1,2,6,2,1,1,2,2,1,7,2.852941,2.880952,83.0,25.0
288,1,2,6,2,2,1,2,0,1,9,2.404762,2.041667,64.0,19.78
289,3,4,6,1,2,2,2,1,3,7,3.055556,3.480769,85.02,42.53
290,1,2,6,2,1,1,2,1,2,9,2.7,1.815789,78.0,32.0
291,3,4,6,1,2,2,1,1,4,9,3.666667,3.58,86.59,41.93
292,3,4,6,2,2,2,1,1,2,8,2.847826,3.428571,79.32,32.0
293,1,2,6,2,1,1,1,2,3,9,2.921053,3.846154,93.0,43.0
294,3,4,6,2,2,2,2,2,3,4,2.880952,2.666667,75.33,37.0
295,3,4,6,2,2,2,2,1,2,2,0.230769,0.6930803400000006,68.86,39.0
296,1,2,6,2,2,1,2,1,3,4,1.954545,3.125,76.0,33.0
297,1,2,6,2,1,1,2,1,1,9,2.795455,2.543478,78.0,26.52
298,1,2,6,2,2,1,2,1,1,7,2.2,1.47619,82.0,23.0
299,3,4,6,2,2,2,2,0,1,8,0.0,0.05122078,60.27,48.0
300,3,2,6,2,2,1,2,1,2,9,2.388889,2.7,67.0,34.0
301,1,2,6,2,2,1,2,1,1,9,3.56,3.175,74.0,34.0
302,3,4,6,2,1,2,1,1,2,8,3.458333,3.38,86.62,42.96
303,1,2,6,2,2,1,2,1,2,7,0.45,1.5512806999999993,56.0,23.0
304,1,2,6,2,2,1,2,0,1,9,2.1,1.5049854399999998,66.0,25.0
305,3,4,6,2,2,2,2,2,1,8,0.375,0.0,70.34,37.0
306,1,2,6,2,2,1,2,1,1,9,1.979167,1.605263,75.0,27.0
307,1,1,6,2,1,1,2,1,1,9,4.086957,3.673077,77.0,31.0
308,1,2,6,2,2,1,1,2,3,9,4.23913,4.1206734800000016,105.0,45.0
309,3,2,6,2,2,1,2,1,1,8,2.23913,3.095238,82.0,38.0
310,3,4,6,2,1,2,1,2,1,9,3.652174,3.625,87.2,47.0
311,3,4,6,1,2,2,1,1,3,8,3.68,3.68,88.52,43.3
312,3,4,6,2,2,2,1,1,2,9,4.043478,2.931460319999999,87.38,46.0
313,1,2,6,2,2,1,2,1,1,9,3.086957,2.875,76.0,31.0
314,3,4,6,2,1,2,2,1,5,10,3.681818,2.021739,81.21,22.0
315,1,2,6,2,2,1,2,1,1,9,3.022727,2.51774101,76.0,16.0
316,1,2,6,2,2,1,2,1,1,7,3.44,3.23913,78.0,24.0
317,3,4,6,2,2,2,2,1,2,4,0.0,0.18893749999999998,70.96,38.0
318,1,2,6,2,1,1,1,1,2,7,2.545455,2.842105,67.0,24.0
319,1,2,6,2,2,1,2,1,1,3,1.34,0.3,68.0,20.0
320,1,2,6,2,1,1,1,1,3,7,2.730769,3.882353,75.0,29.0
321,3,4,6,2,2,2,2,1,2,7,0.46,2.84375,68.84,17.0
322,1,2,6,2,1,1,2,1,3,7,2.275,1.233333,73.0,24.0
323,3,2,6,2,2,1,2,2,7,8,4.282609,4.238095,82.55,48.0
324,1,2,6,2,1,1,1,1,4,8,3.916667,3.979167,86.0,50.0
325,3,4,6,2,2,2,2,1,2,8,3.464286,3.470588,86.42,38.0
326,1,2,6,2,1,1,2,2,4,9,4.275,4.363636,88.0,47.0
327,1,2,6,2,2,1,2,2,3,9,3.82,3.6,69.0,30.0
328,3,4,6,1,2,2,1,2,3,8,2.26,2.076923,77.92,30.81
329,1,2,6,2,2,1,2,2,7,8,4.225,3.911765,85.55,35.0
330,1,2,6,2,1,1,2,1,3,9,1.727273,1.9,67.0,37.0
331,1,2,6,2,1,1,2,2,1,9,3.272727,2.608696,89.0,28.68
332,3,4,6,2,1,2,2,1,4,8,3.979167,3.333333,83.29,48.0
333,3,2,6,2,2,1,2,2,5,10,4.214286,4.047619,79.85,49.0
334,3,4,6,1,1,2,2,1,3,8,4.0,3.5,83.41,44.51
335,1,2,6,2,1,1,1,1,1,4,0.695652,0.9790007400000001,69.0,18.0
336,1,2,6,2,2,1,2,1,1,9,2.0,0.0,73.0,33.0
337,1,2,6,2,1,1,2,1,2,9,2.547619,2.891304,78.0,27.0
338,1,2,6,2,2,1,2,2,3,9,2.733333,3.02381,67.0,41.0
339,3,4,6,1,2,2,1,1,3,10,3.9,3.928571,92.54,47.44
340,3,4,6,1,2,2,2,2,3,8,3.152174,2.865385,82.96,43.07
341,3,4,6,1,2,2,2,1,3,8,3.043478,2.730769,81.25,39.22
342,3,4,6,1,2,2,2,1,4,8,2.416667,2.708333,72.16,31.37
343,1,2,6,2,1,1,2,1,1,9,2.842105,0.736842,88.0,23.0
344,3,4,6,1,2,2,2,2,3,8,3.9,3.727273,89.2,44.87
345,1,2,6,2,1,1,2,1,2,3,0.0,0.7084644800000005,72.0,15.0
346,3,4,6,2,1,2,2,1,3,10,1.730769,1.866667,72.13,35.0
347,1,1,6,2,1,1,2,1,1,7,2.891304,2.730769,82.0,20.0
